ACCOUNTNO,PROP_TYPE,TX_DIST,PT,SPT,N_GRP,LEA,IMPQUALITY,IMPCONDITIONTYPE,EFFAGE,REMODPCT,BLTASDESCRIPTION,BLTASSTORIES,IMPEXTERIOR,BLTASSF,BEDRMCNT,TOT_BATH,BSMT_TOTAL,BSMT_FIN,BSMT_UNFIN,KITCHENS,ATTGAR,DETGAR,RES_RCNLD,RES_COSTRCN,TOT_RCNLD,TOT_RCN,NEW_PT,MLS_TOTAL_SQFT,HAS_ATTGAR,HAS_DETGAR,HAS_BSMT,BSMT_ISFIN,BSMT_PCTCOMP,IS_REMOD,ACTUAL_AGE,TRUE_VAL
010910129,RS,10,111,111,107,1016,Average,Above Average,44,0.9,2 Story,2,Frame Stucco,2088,4,1.75,0,0,0,1,0,864,109653,209871,109653,209871,RS,2088,0,1,0,0,0,1,127,150900
110330297,RSOB,10,111,111,115,1046,Average,Average,9,0,Ranch 1 Story,1,Frame Stucco,2533,3,3.5,1699,1699,0,2,672,0,338322,368133,340197,373200,RSOB,5931,1,0,1,1,1,0,26,488900
110350117,RSOB,10,111,111,115,1046,Average,Above Average,9,0.7,2 Story,2,Frame Vinyl,2848,4,3.5,1200,1200,0,1,702,560,332831,356255,424424,473554,RSOB,4048,1,1,1,1,1,1,26,674300
110350163,RSOB,10,111,111,115,1046,Average,Average,9,0,2 Story,2,Frame Stucco,5366,3,2.5,0,0,0,1,600,0,393846,428093,399002,453873,RSOB,5366,1,0,0,0,0,0,27,2236600
120090088,RS,10,111,111,115,1046,Average,Average,12,0,Ranch 1 Story,1,Frame Masonry Veneer,1699,2,2.5,1202,962,240,1,483,750,255531,291191,255531,291191,RS,3152,1,1,1,0,0.800332778702163,0,32,272400
120090094,RS,10,111,111,115,1046,Above Average,Above Average,15,0,2 Story,2,Frame Vinyl,2134,4,2.75,1132,1132,0,1,575,0,289946,335903,289946,335903,RS,3000,1,0,1,1,1,0,39,422400
120140101,RS,10,111,111,105,1055,Above Average,Average,5,0,2 Story,2,Frame Masonry Veneer,3622,5,6.25,2192,2100,92,2,983,780,674142,708959,674142,708959,RS,5722,1,1,1,0,0.958029197080292,0,18,683800
120180015,RS,10,111,111,115,1046,Average,Average,20,0,Ranch 1 Story,1,Frame Vinyl,1500,4,2,1500,1500,0,1,0,576,200254,256486,200254,256486,RS,3000,0,1,1,1,1,0,48,282000
120180039,RS,10,111,111,115,1040,Average,Average,26,0,Ranch 1 Story,1,Frame Masonry Veneer,2034,3,1.5,0,0,0,1,378,1216,186826,256545,200770,319926,RS,2034,1,1,0,0,0,0,61,282000
120210092,RS,10,111,111,115,1046,Average,Above Average,23,0.75,Ranch 1 Story,1,Frame Vinyl,1850,2,2.75,1284,1284,0,1,425,2400,277418,333421,292557,368629,RS,3188,1,1,1,1,1,1,84,369000
120230118,RS,10,111,111,115,1046,Average,Above Average,13,0.6,Ranch 1 Story,1,Masonry Concrete Block,729,1,1,729,729,0,1,0,0,113829,124813,113829,124813,RS,1458,0,0,1,1,1,1,78,160100
120230125,RS,10,111,111,115,1046,Below Average,Average,37,0,Ranch 1 Story,1,Frame Siding,672,2,1,672,0,672,1,0,0,35019,81439,35019,81439,RS,1344,0,0,1,0,0,0,82,64000
120230125,RS,10,111,111,115,1046,Below Average,Average,37,0,Ranch 1 Story,1,Frame Siding,672,2,1,672,0,672,1,0,0,35019,81439,35019,81439,RS,1344,0,0,1,0,0,0,82,64000
120230165,RS,10,111,111,115,1046,Below Average,Above Average,39,0.8,Ranch 1 Story,1,Frame Masonry Veneer,800,2,1,400,400,0,1,0,528,66525,127631,66525,127631,RS,1200,0,1,1,1,1,1,87,155100
120240012,RS,10,111,111,115,1046,Average,Average,26,0,Ranch 1 Story,1,Frame Masonry Veneer,1288,3,2.5,1288,1288,0,2,0,750,182770,258259,184163,265223,RS,2576,0,1,1,1,1,0,61,311700
120330056,RS,10,111,111,115,1041,Above Average,Average,17,0,Ranch 1 Story,1,Frame Masonry Veneer,1500,3,2.75,1500,0,1500,1,816,0,237231,285821,244850,293841,RS,3000,1,0,1,0,0,0,43,327900
120330083,RS,10,111,111,115,1041,Average,Average,15,0,2 Story,2,Frame Masonry Veneer,3231,4,3,0,0,0,1,528,900,278310,338514,278310,338514,RS,3231,1,1,0,0,0,0,38,328600
120360123,RS,10,111,111,115,1040,Average,Above Average,43,0.7,Ranch 1 Story,1,Frame Vinyl,1541,2,1,0,0,0,1,0,840,110647,191785,112724,202172,RS,1810,0,1,0,0,0,1,94,242100
120360177,RS,10,111,111,115,1040,Below Average,Average,34,0,Ranch 1 Story,1,Frame Vinyl,1242,2,1,0,0,0,1,0,0,52636,107420,52636,107420,RS,1300,0,0,0,0,0,0,76,125300
120370020,RS,10,111,111,115,1040,Average,Average,29,0,Ranch 1 Story,1,Frame Masonry Veneer,1140,2,1,854,0,854,1,0,0,100144,151733,100144,151733,RS,1994,0,0,1,0,0,0,66,148500
120370034,RS,10,111,111,115,1040,Average,Above Average,44,0.9,Ranch 1 Story,1,Frame Stucco,1760,3,2,0,0,0,1,0,0,105183,185835,105183,185835,RS,1762,0,0,0,0,0,1,114,163000
120380080,RS,10,111,111,115,1040,Average,Above Average,13,0.8,Ranch 1 Story,1,Frame Stucco,1183,3,1,300,0,300,1,0,0,122220,135120,122220,135120,RS,1183,0,0,1,0,0,1,101,131600
120400012,RS,10,111,111,115,1040,Average,Above Average,44,0.5,Ranch 1 Story,1,Frame Vinyl,1752,3,2,1090,981,109,1,0,875,124658,255894,148941,280177,RS,2842,0,1,1,0,0.9,1,109,234400
120400024,RS,10,111,111,115,1040,Average,Average,34,0,Ranch 1 Story,1,Frame Vinyl,1026,2,2,1012,1012,0,1,0,0,101118,180568,101118,180568,RS,2052,0,0,1,1,1,0,77,147600
120400085,RS,10,111,111,115,1040,Average,Average,36,0,Ranch 1 Story,1,Frame Vinyl,978,3,1,0,0,0,1,0,0,57107,107749,57107,107749,RS,978,0,0,0,0,0,0,80,115200
120400108,RS,10,111,111,115,1040,Average,Above Average,40,0.5,Ranch 1 Story,1,Frame Masonry Veneer,941,2,1,941,847,94,1,266,0,91803,181788,91803,181788,RS,2068,1,0,1,0,0.900106269925611,1,88,145900
