ACCOUNTNO,PRED_IMP,LAND_VAL,SOLD_PRICE,TOT_VAL,PRED_TOT
030150018,229777.13030211296,136200,308000,330300,365977.13030211296
030150019,218296.082096151,136400,395000,323100,354696.08209615096
030160009,199148.51553078677,128400,290000,261800,327548.51553078677
030160013,207369.26518536606,128400,329500,281800,335769.26518536604
030240017,177822.62627385283,146200,255000,269100,324022.62627385283
030290026,210107.46932536425,134200,335000,322300,344307.4693253642
030310019,226987.76708406614,145900,373000,318200,372887.7670840662
030350007,163283.42442291527,133900,283500,217100,297183.42442291527
030400003,185261.61239336518,121700,275000,259800,306961.6123933652
030410005,165177.28318787832,99600,239000,193400,264777.2831878783
030490003,209827.86047862217,137800,262000,288700,347627.86047862214
030540013,170261.0724470797,137600,198000,226400,307861.0724470797
030540028,252879.62303031376,150400,345900,357000,403279.62303031376
030570022,159434.96401197562,138000,255000,221100,297434.9640119756
030620025,231327.95539416777,136100,369900,342700,367427.9553941678
030690012,201547.4252175563,146800,295000,289100,348347.4252175563
030760050,240761.94191959675,133900,382000,319500,374661.94191959675
040130011,179348.16013762492,94100,249000,237800,273448.16013762495
040190028,170731.02660820115,88400,259000,222100,259131.02660820115
040240005,167049.44747917386,88000,250000,217400,255049.44747917386
040270026,230958.52818714635,90000,350000,294700,320958.52818714635
040290008,177455.69393154493,80000,252000,213700,257455.69393154493
040300014,159943.0501477201,89100,220000,191600,249043.0501477201
040320008,156994.4888876863,85600,247600,177500,242594.4888876863
040330003,182792.71251186295,83000,310000,245900,265792.712511863
040330012,172314.9999104621,78300,232000,218000,250614.9999104621
040350011,179440.02978800552,80000,338000,243700,259440.02978800552
040460006,206717.55691130206,95800,267500,255400,302517.55691130203
040470012,217682.19743027477,80000,350000,273200,297682.1974302748
040520009,184576.8211069973,88000,249975,256700,272576.8211069973
040550005,185060.84532815986,102500,281500,266600,287560.84532815986
040680012,166635.09147537398,71700,221150,207500,238335.09147537398
040720019,189246.53960922253,84600,213900,231000,273846.53960922256
040730018,172856.8769419449,92900,294000,221900,265756.87694194494
040740021,162834.6464674476,71700,204500,180500,234534.6464674476
040920010,225918.716732154,92900,364200,321000,318818.716732154
041010020,169241.93882538617,69600,203100,195300,238841.93882538617
041120018,196868.35994651078,84600,286000,256500,281468.35994651075
041120019,168788.2696013457,84600,227500,223800,253388.2696013457
050010004,186689.7318405654,115800,275000,250000,302489.7318405654
050050001,177472.47209804298,108300,253000,244500,285772.47209804296
050060020,306465.586472438,112300,560000,518600,418765.586472438
050070003,172476.8054847203,91800,250000,249600,264276.8054847203
050160018,181489.24321237687,98500,267400,272800,279989.24321237684
050180014,183603.60152926456,98500,244897,233200,282103.6015292646
050320006,169771.58914637764,100300,277000,239700,270071.58914637764
050440003,181829.47724744832,116800,305000,266100,298629.4772474483
050480001,181794.78946626384,98500,303303,266700,280294.78946626384
050480006,157813.97008215162,115800,238000,223300,273613.9700821516
050490013,170393.98186046907,91800,243000,243400,262193.9818604691
050500001,187209.01534450668,111000,350000,308500,298209.0153445067
050500009,203830.52053227648,114700,315000,284000,318530.5205322765
050530013,204705.1915249523,98500,305000,300200,303205.1915249523
050560020,210204.97089727546,105400,308000,299800,315604.9708972755
050570003,221596.61309840804,121900,350000,370700,343496.61309840804
050590015,245572.31937744658,138100,443768,428200,383672.31937744655
050620002,204897.94678695328,129000,355000,350800,333897.94678695325
050620007,197304.3893469262,133800,350900,339900,331104.38934692624
050620008,181554.92930226558,106000,267000,290300,287554.9293022656
050660008,191542.60595240348,130300,415500,382500,321842.6059524035
050850005,165577.72324757653,98500,232000,217900,264077.7232475765
060010003,181800.98678580052,72200,289000,229600,254000.98678580052
