ACCOUNTNO,PROP_TYPE,TX_DIST,PT,SPT,N_GRP,LEA,IMPQUALITY,IMPCONDITIONTYPE,EFFAGE,REMODPCT,BLTASDESCRIPTION,BLTASSTORIES,IMPEXTERIOR,BLTASSF,BEDRMCNT,TOT_BATH,BSMT_TOTAL,BSMT_FIN,BSMT_UNFIN,KITCHENS,ATTGAR,DETGAR,RES_RCNLD,RES_COSTRCN,TOT_RCNLD,TOT_RCN,NEW_PT,MLS_TOTAL_SQFT,HAS_ATTGAR,HAS_DETGAR,HAS_BSMT,BSMT_ISFIN,BSMT_PCTCOMP,IS_REMOD,ACTUAL_AGE,SF_ROOM,IMPROVED
010680026,RS,10,111,111,115,1040,Average,Above Average,13,0.75,Split Level,1,Frame Vinyl,1639,6,1.75,975,975,0,1,600,0,207243,230255,207243,230255,RS,2614,Yes,No,Yes,Yes,1,Yes,51,435.6666666666667,233000
010680072,RS,10,111,111,115,1040,Average,Average,44,0.05,1½ Story Fin,1,Frame Vinyl,1788,3,1,0,0,0,1,0,576,69392,173978,87772,192926,RS,1788,No,Yes,No,No,0,Yes,99,596,138400
010690047,RS,10,111,111,115,1040,Below Average,Above Average,28,0.6,Ranch 1 Story,1,Frame Vinyl,815,2,1,287,258,29,1,0,336,80273,109590,80273,109590,RS,1152,No,Yes,Yes,No,0.8989547038327527,Yes,74,576,122800
010710003,RS,10,111,111,115,1040,Below Average,Average,44,0,Ranch 1 Story,1,Frame Vinyl,960,2,1,0,0,0,1,0,336,35849,100875,35849,100875,RS,960,No,Yes,No,No,0,No,103,480,208900
010710003,RS,10,111,111,115,1040,Below Average,Average,44,0,Ranch 1 Story,1,Frame Vinyl,960,2,1,0,0,0,1,0,336,35849,100875,35849,100875,RS,960,No,Yes,No,No,0,No,103,480,126900
010710005,RS,10,111,111,115,1040,Average,Above Average,33,0.3,Ranch 1 Story,1.5,Other,1934,5,1.5,0,0,0,1,0,0,124770,182146,124770,182146,RS,1934,No,No,No,No,0,Yes,75,386.8,199000
010720009,RS,10,111,111,115,1040,Above Average,Average,28,0,Ranch 1 Story,1,Frame Masonry Veneer,1454,3,2.25,1454,1454,0,1,640,0,216967,323831,216967,323831,RS,2908,Yes,No,Yes,Yes,1,No,64,969.3333333333334,276450
010720011,RS,10,111,111,115,1040,Above Average,Above Average,36,0.7,Ranch 1 Story,1,Frame Masonry Veneer,2278,4,2,0,0,0,1,0,0,189441,303591,189441,303591,RS,2230,No,No,No,No,0,Yes,114,557.5,251700
010730003,RS,10,111,111,115,1040,Average,Above Average,12,0.9,Ranch 1 Story,1,Frame Masonry Veneer,1543,4,2.5,0,0,0,1,0,0,156476,169530,156476,169530,RS,1083,No,No,No,No,0,Yes,121,270.75,54300
010730006,RS,10,111,111,115,1040,Average,Average,37,0,Ranch 1 Story,1,Frame Vinyl,1602,3,1,250,0,250,1,216,0,88020,172589,88020,172589,RS,1850,Yes,No,Yes,No,0,No,82,616.6666666666666,156700
010730008,RS,10,111,111,115,1040,Average,Above Average,15,0.3,Ranch 1 Story,1,Frame Vinyl,1138,2,1,0,0,0,1,0,286,115801,133433,115801,133433,RS,1138,No,Yes,No,No,0,Yes,121,569,187900
010740003,RS,10,111,111,115,1040,Average,Above Average,44,0.95,2 Story,2,Frame Masonry Veneer,1430,4,2,0,0,0,1,0,0,90663,160182,90663,160182,RS,1430,No,No,No,No,0,Yes,108,357.5,215500
010750002,RS,10,111,111,115,1040,Average,Average,44,0.35,Ranch 1 Story,1,Frame Vinyl,1143,3,2,0,0,0,1,0,0,48616,127937,48616,127937,RS,1163,No,No,No,No,0,Yes,104,387.6666666666667,181200
010750004,RS,10,111,111,115,1040,Average,Above Average,29,0.9,Ranch 1 Story,1,Frame Masonry Veneer,1514,2,2,0,0,0,1,0,500,144702,189897,144702,189897,RS,1514,No,Yes,No,No,0,Yes,66,757,202200
010750004,RS,10,111,111,115,1040,Average,Above Average,29,0.9,Ranch 1 Story,1,Frame Masonry Veneer,1514,2,2,0,0,0,1,0,500,144702,189897,144702,189897,RS,1514,No,Yes,No,No,0,Yes,66,757,191901
010750004,RS,10,111,111,115,1040,Average,Above Average,29,0.9,Ranch 1 Story,1,Frame Masonry Veneer,1514,2,2,0,0,0,1,0,500,144702,189897,144702,189897,RS,1600,No,Yes,No,No,0,Yes,66,800,144200
010750010,RS,10,111,111,115,1040,Average,Average,19,0,Ranch 1 Story,1,Frame Masonry Veneer,1664,3,1.75,1664,333,1331,1,0,0,192710,240887,192710,240887,RS,3328,No,No,Yes,No,0.20012019230769232,No,46,1109.3333333333333,211700
010760007,RS,10,111,111,115,1040,Average,Above Average,44,0.9,Ranch 1 Story,1,Frame Vinyl,1197,3,1,0,0,0,1,0,0,70192,124015,70192,124015,RS,1197,No,No,No,No,0,Yes,102,399,190700
010810002,RS,10,111,111,115,1040,Above Average,Above Average,38,0.5,2 Story,2,Frame Masonry Veneer,2638,3,2,1319,1319,0,1,437,0,247493,457473,249700,468509,RS,3957,Yes,No,Yes,Yes,1,Yes,85,1319,271900
010810013,RS,10,111,111,115,1040,Average,Above Average,44,0.7,Ranch 1 Story,1,Frame Vinyl,1893,3,1.75,0,0,0,1,0,0,92588,183706,92588,183706,RS,1565,No,No,No,No,0,Yes,109,521.6666666666666,180000
010820007,RS,10,111,108,115,1040,Average,Average,24,0,Other,1,Frame Vinyl,875,2,1,0,0,0,1,0,0,73797,99725,76268,102853,RS,875,No,No,No,No,0,No,51,437.5,160600
010830004,RS,10,111,111,115,1040,Average,Above Average,44,0,Ranch 1 Story,1.5,Frame Vinyl,2123,4,2.5,0,0,0,1,594,0,95133,215234,95133,215234,RS,2123,Yes,No,No,No,0,No,113,530.75,178700
010860007,RS,10,111,111,115,1040,Average,Above Average,13,0.8,Ranch 1 Story,1,Frame Masonry Veneer,1746,3,2.5,726,726,0,1,300,0,223274,246985,223274,246985,RS,2654,Yes,No,Yes,Yes,1,Yes,70,884.6666666666666,214000
010860038,RS,10,111,111,115,1040,Average,Average,44,0,Ranch 1 Story,1,Frame Vinyl,1086,2,1.75,894,894,0,1,0,600,83860,189360,83860,189360,RS,1980,No,Yes,Yes,Yes,1,No,104,990,196100
010890009,RS,10,111,111,115,1040,Average,Above Average,17,0.8,Ranch 1 Story,1,Frame Vinyl,1020,3,1.75,2040,918,1122,1,0,312,153439,178663,153439,178663,RS,2040,No,Yes,Yes,No,0.45,Yes,85,680,207600
010890010,RS,10,111,111,115,1040,Average,Above Average,26,0.5,Ranch 1 Story,1,Frame Masonry Veneer,1280,2,1,0,0,0,1,0,0,102683,138948,102683,138948,RS,1280,No,No,No,No,0,Yes,60,640,135200
010890024,RS,10,111,111,115,Other,Above Average,Average,18,0.5,Bi Level 1 Story,1,Frame Vinyl,1938,5,4,1830,1830,0,2,690,0,340476,421329,340476,421329,RS,3660,Yes,No,Yes,Yes,1,Yes,44,732,250300
010900045,RS,10,111,111,107,1016,Below Average,Above Average,9,0.9,Ranch 1 Story,1,Frame Siding,832,2,1,0,0,0,1,0,320,82660,95919,82660,95919,RS,832,No,Yes,No,No,0,Yes,74,416,151100
010910129,RS,10,111,111,107,1016,Average,Above Average,44,0.9,2 Story,2,Frame Stucco,2088,4,1.75,0,0,0,1,0,864,109653,209871,109653,209871,RS,2088,No,Yes,No,No,0,Yes,127,522,150900
020030018,RS,40,111,111,171,1718,Average,Average,13,0,Split Level,2,Frame Vinyl,2696,5,3,1350,540,810,1,462,0,266916,303950,266916,303950,RS,4316,Yes,No,Yes,No,0.4,No,34,863.2,288000
020030021,RS,40,111,111,171,1718,Above Average,Average,11,0,2 Story,2,Frame Stucco,2970,3,4.25,1807,1807,0,2,572,0,488208,543908,488208,543908,RS,4833,Yes,No,Yes,Yes,1,No,31,1611,522400
020030045,RS,40,111,111,171,1718,Above Average,Average,8,0,2 Story,2,Frame Stucco,3822,7,4.5,1778,1778,0,2,810,0,479361,515808,479361,515808,RS,5576,Yes,No,Yes,Yes,1,No,25,796.5714285714286,378300
020060017,RS,40,111,111,171,1718,Average,Above Average,13,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1152,3,1.75,1152,1152,0,1,528,0,194146,214763,194146,214763,RS,2304,Yes,No,Yes,Yes,1,Yes,44,768,266300
020070018,RS,40,111,111,171,1718,Average,Above Average,34,0.6,Ranch 1 Story,1,Frame Masonry Veneer,1833,3,1.75,220,220,0,1,0,0,139229,214859,140274,220082,RS,2033,No,No,Yes,Yes,1,Yes,77,677.6666666666666,144900
020080011,RS,40,111,111,171,1718,Average,Average,41,0,Ranch 1 Story,1.5,Frame Vinyl,2088,4,2.75,1286,0,1286,1,0,1536,122644,272309,122644,272309,RS,3374,No,Yes,Yes,No,0,No,90,843.5,140000
020120002,RS,60,111,111,201,2017,Average,Above Average,33,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1406,3,1.75,643,310,333,1,0,280,128124,203983,128124,203983,RS,2127,No,Yes,Yes,No,0.4821150855365474,Yes,75,709,132100
020120027,RS,60,111,111,201,2017,Average,Average,17,0,Ranch 1 Story,1,Frame Vinyl,1332,3,2.5,1332,1332,0,2,598,0,192592,232038,193640,237276,RS,2664,Yes,No,Yes,Yes,1,No,43,888,203900
020130022,RS,60,111,111,201,2017,Average,Above Average,19,0.75,Ranch 1 Story,1,Frame Masonry Veneer,1013,2,1,256,0,256,1,328,0,114533,136349,114533,136349,RS,1269,Yes,No,Yes,No,0,Yes,67,634.5,108600
020150035,RS,60,111,111,201,2017,Average,Average,44,0,1½ Story Fin,1,Frame Masonry Veneer,1422,4,1,0,0,0,1,0,240,55459,150965,55459,150965,RS,1422,No,Yes,No,No,0,No,121,355.5,74500
020160011,RS,60,111,111,201,2017,Below Average,Above Average,25,0.8,Ranch 1 Story,1,Frame Vinyl,728,2,1,468,374,94,1,0,0,71023,92357,71023,92357,RS,1196,No,No,Yes,No,0.7991452991452992,Yes,109,598,92300
020160014,RS,60,111,111,201,2017,Average,Above Average,31,0.75,Ranch 1 Story,1,Frame Vinyl,984,2,1,400,0,400,1,0,0,83610,120129,83610,120129,RS,1384,No,No,Yes,No,0,Yes,117,692,123500
020160028,RS,60,111,111,201,2017,Average,Above Average,29,0.7,Ranch 1 Story,1,Frame Masonry Veneer,768,2,1.75,768,538,230,1,0,528,97244,145903,97244,145903,RS,1536,No,Yes,Yes,No,0.7005208333333334,Yes,81,768,190900
020170012,RS,60,111,111,201,2017,Average,Above Average,26,0.75,Ranch 1 Story,1,Frame Masonry Veneer,1040,2,2,1040,1040,0,1,0,0,150771,189173,150771,189173,RS,2080,No,No,Yes,Yes,1,Yes,60,1040,174619
020170031,RS,60,111,111,201,2017,Average,Average,18,0,Bi Level 1 Story,1,Frame Vinyl,1052,4,2,988,790,198,1,0,0,129633,161029,129633,161029,RS,2024,No,No,Yes,No,0.7995951417004049,No,44,506,128500
020180004,RS,60,111,111,201,2017,Below Average,Above Average,37,0.7,Ranch 1 Story,1,Frame Vinyl,1849,4,1,0,0,0,1,0,0,82538,151725,82538,151725,RS,1849,No,No,No,No,0,Yes,110,462.25,129600
020180011,RS,60,111,111,201,2017,Below Average,Average,20,0,Ranch 1 Story,1,Frame Vinyl,884,2,1,884,221,663,1,308,0,87971,117295,87971,117295,RS,1768,Yes,No,Yes,No,0.25,No,49,884,148700
020200001,RS,60,111,111,201,2017,Average,Above Average,44,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1040,4,1.5,1040,728,312,1,264,0,90733,180026,90733,180026,RS,2224,Yes,No,Yes,No,0.7,Yes,99,556,153500
