PROP_TYPE,TX_DIST,PT,SPT,N_GRP,LEA,IMPQUALITY,IMPCONDITIONTYPE,EFFAGE,REMODPCT,BLTASDESCRIPTION,BLTASSTORIES,IMPEXTERIOR,BLTASSF,BEDRMCNT,TOT_BATH,BSMT_TOTAL,BSMT_FIN,BSMT_UNFIN,KITCHENS,ATTGAR,DETGAR,RES_RCNLD,RES_COSTRCN,TOT_RCNLD,TOT_RCN,NEW_PT,HAS_ATTGAR,HAS_DETGAR,HAS_BSMT,BSMT_ISFIN,BSMT_PCTCOMP,IS_REMOD,ACTUAL_AGE,SF_ROOM,ACCOUNTNO,MLS_TOTAL_SQFT,IMPROVED
RS,85,111,111,354,3512,Average,Average,2,0,2 Story,0,Frame Stucco,2150,3,2.5,1198,0,1198,1,680,0,243677,246138,243677,246138,RS,Yes,No,Yes,No,0,No,3,1102.6666666666667,346250203,3308,294083
RS,85,111,111,354,3512,Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,1399,3,2,1388,0,1388,1,441,0,191600,191600,191600,191600,RS,Yes,No,Yes,No,0,No,2,948,346250204,2844,237700
RS,85,111,111,354,3512,Average,Average,3,0,2 Story,0,Frame Stucco,1806,3,2.5,834,0,834,1,441,0,207042,207042,207042,207042,RS,Yes,No,Yes,No,0,No,2,874.3333333333334,346250206,2623,255100
RS,85,111,111,354,3512,Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,1420,3,2,1384,0,1384,1,420,0,194705,194705,194705,194705,RS,Yes,No,Yes,No,0,No,2,939.6666666666666,346250208,2819,241500
RS,85,111,111,354,3512,Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,1588,3,2,1652,0,1652,1,455,0,214987,214987,214987,214987,RS,Yes,No,Yes,No,0,No,2,1093,346250210,3279,262200
RS,85,111,111,354,3512,Average,Average,1,0,Ranch 1 Story,0,Frame Stucco,2027,4,2.5,1987,0,1987,1,484,0,259828,259828,259828,259828,RS,Yes,No,Yes,No,0,No,2,1008.5,346250212,4034,306000
RS,85,111,111,354,3512,Average,Average,6,0,2 Story,0,Frame Stucco,3094,4,4.5,1460,1314,146,1,504,0,356193,359791,356193,359791,RS,Yes,No,Yes,No,0.9,No,3,1126.5,346250214,4506,374732
RS,85,111,111,354,3512,Average,Average,2,0,2 Story,0,Frame Stucco,2190,3,2.5,1260,0,1260,1,420,0,241476,241476,241476,241476,RS,Yes,No,Yes,No,0,No,2,1109.3333333333333,346250215,3328,286600
RS,85,111,111,354,3512,Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,1850,3,2,1879,0,1879,1,449,0,238992,238992,238992,238992,RS,Yes,No,Yes,No,0,No,2,1260,346250219,3780,265100
RS,85,111,111,354,3512,Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,1635,3,2,1686,0,1686,1,680,0,221785,221785,221785,221785,RS,Yes,No,Yes,No,0,No,2,1094.3333333333333,346250220,3283,275600
RS,85,111,111,354,3512,Average,Average,2,0,2 Story,0,Frame Stucco,2582,4,2.5,1460,0,1460,1,504,0,272526,275279,272526,275279,RS,Yes,No,Yes,No,0,No,3,997.75,346250221,3991,327500
RS,85,111,111,354,3512,Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,1568,3,2,1652,0,1652,1,0,0,196399,198383,196399,198383,RS,No,No,Yes,No,0,No,3,1086.3333333333333,346250223,3259,261890
RS,85,111,111,354,3512,Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,1699,3,2,1750,0,1750,1,441,0,221160,223394,221160,223394,RS,Yes,No,Yes,No,0,No,3,1166,346250224,3498,281310
RS,85,111,111,354,3512,Average,Average,1,0,2 Story,0,Frame Stucco,2150,3,2.5,1209,0,1209,1,680,0,241451,241451,241451,241451,RS,Yes,No,Yes,No,0,No,2,1102.6666666666667,346250225,3308,294100
RS,85,111,111,354,3512,Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,2027,4,2.5,2029,0,2029,1,484,0,258851,258851,258851,258851,RS,Yes,No,Yes,No,0,No,2,1021,346250226,4084,297500
RS,85,111,111,354,3512,Average,Average,1,0,Ranch 1 Story,0,Frame Stucco,1572,3,2,1609,0,1609,1,456,0,210703,210703,210703,210703,RS,Yes,No,Yes,No,0,No,2,1124.3333333333333,346250228,3373,266400
RS,85,111,111,354,3512,Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,1420,3,2,1409,0,1409,1,420,0,192935,194884,192935,194884,RS,Yes,No,Yes,No,0,No,3,949.3333333333334,346250229,2848,233500
RS,85,111,111,354,3512,Average,Average,2,0,2 Story,0,Frame Stucco,2150,3,2.5,1198,0,1198,1,440,0,235406,237784,235406,237784,RS,Yes,No,Yes,No,0,No,3,1102.6666666666667,346250230,3308,285139
RS,85,111,111,354,3512,Average,Average,11,0,Ranch 1 Story,0,Frame Stucco,1416,3,2,1384,0,1384,1,420,0,191827,191827,191827,191827,RS,Yes,No,Yes,No,0,No,2,939.6666666666666,346250231,2819,244010
RS,85,111,111,354,3512,Average,Average,1,0,Ranch 1 Story,0,Frame Stucco,1699,3,3,1749,1574,175,1,681,0,282918,282918,282918,282918,RS,Yes,No,Yes,No,0.8999428244711264,No,2,1166,346250234,3498,321518
RS,85,111,111,354,3512,Average,Average,2,0,2 Story,0,Frame Stucco,2276,3,2.5,1646,0,1646,1,761,0,259540,259540,259540,259540,RS,Yes,No,Yes,No,0,No,2,1305,346250237,3915,314500
RS,85,111,111,354,3512,Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,1679,3,2,1749,0,1749,1,681,0,228372,228372,228372,228372,RS,Yes,No,Yes,No,0,No,2,1159.3333333333333,346250238,3478,279300
RS,85,111,111,354,3512,Average,Average,2,0,2 Story,0,Frame Stucco,2472,4,2.5,1454,0,1454,1,510,0,269906,269906,269906,269906,RS,Yes,No,Yes,No,0,No,2,997.75,346250242,3991,322185
RS,85,111,111,354,3512,Average,Average,1,0,Ranch 1 Story,0,Frame Stucco,1556,3,2,1644,0,1644,1,672,0,214586,214586,214586,214586,RS,Yes,No,Yes,No,0,No,2,1087.6666666666667,346250245,3263,273100
RS,85,111,111,354,3512,Average,Average,2,0,2 Story,0,Frame Stucco,2190,3,2.5,1229,0,1229,1,420,0,240555,240555,240555,240555,RS,Yes,No,Yes,No,0,No,2,1102.6666666666667,346250247,3308,281700
V,190,111,111,752,7503,Average,Average,11,0,Ranch 1 Story,0,Frame Stucco,1280,3,2,1280,0,1280,1,448,0,179046,179046,179046,179046,RS,Yes,No,Yes,No,0,No,1,872.3333333333334,346320031,2617,233465
V,190,111,111,752,7503,Average,Average,2,0,2 Story,0,Frame Stucco,1368,4,2.5,616,0,616,1,430,0,169458,169458,169458,169458,RS,Yes,No,Yes,No,0,No,1,683.25,346320032,2733,253480
V,190,111,111,752,7503,Average,Average,2,0,2 Story,0,Frame Stucco,1854,4,2.5,770,0,770,1,483,0,208038,208038,208038,208038,RS,Yes,No,Yes,No,0,No,1,613.25,346320033,2453,243580
V,190,111,111,752,7503,Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,1302,3,2,1302,0,1302,1,434,0,181064,181064,181064,181064,RS,Yes,No,Yes,No,0,No,1,879.6666666666666,346320034,2639,238925
V,190,111,111,752,7503,Average,Average,1,0,2 Story,0,Frame Stucco,1946,4,2.5,844,0,844,1,506,0,216213,216213,216213,216213,RS,Yes,No,Yes,No,0,No,1,687.75,346320041,2751,271100
V,190,111,111,752,7503,Average,Average,3,0,Ranch 1 Story,0,Frame Stucco,1253,3,2,1253,0,1253,1,460,0,176547,176547,176547,176547,RS,Yes,No,Yes,No,0,No,1,840.6666666666666,346320042,2522,235125
RS,90,111,111,503,5033,Below Average,Above Average,24,0.75,Ranch 1 Story,1,Frame Vinyl,1370,3,1.75,0,0,0,1,0,0,94380,125505,94380,125505,RS,No,No,No,No,0,Yes,98,697.3333333333334,346360001,2092,197425
RSOB,38,111,111,150,1501,Above Average,Average,1,0,2 Story,0,Frame Stucco,3105,4,2.5,2010,0,2010,1,1061,0,428371,428371,428371,428371,RSOB,Yes,No,Yes,No,0,No,2,1272.5,346380601,5090,455386
RSOB,38,111,111,150,1501,Above Average,Average,2,0,2 Story,0,Frame Stucco,3044,3,2.5,1648,0,1648,1,933,0,370704,370704,370704,370704,RSOB,Yes,No,Yes,No,0,No,2,1541.6666666666667,346380628,4625,484878
RSOB,38,111,111,150,1501,Above Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,2340,3,2.5,2410,0,2410,1,787,0,340648,340648,340648,340648,RSOB,Yes,No,Yes,No,0,No,2,1576.3333333333333,346380629,4729,436869
RS,38,111,111,150,1501,Above Average,Average,2,0,2 Story,0,Frame Stucco,3024,4,2.5,2606,0,2606,1,968,0,383226,383226,383226,383226,RS,Yes,No,Yes,No,0,No,2,1392.5,346380631,5570,527095
V,10,111,111,113,1045,Average,Average,1,0,2 Story,0,Frame Stucco,2021,3,2.5,968,0,968,1,748,0,228300,228300,228300,228300,RS,Yes,No,Yes,No,0,No,1,953.3333333333334,346400001,2860,336100
RS,10,111,111,113,1045,Average,Average,1,0,Ranch 1 Story,0,Frame Stucco,1887,3,2,2002,0,2002,1,801,0,249358,249358,249358,249358,RS,Yes,No,Yes,No,0,No,2,623.3333333333334,346400005,1870,324538
V,131,111,111,705,7007,Average,Average,2,0,2 Story,0,Frame Stucco,2388,4,2.5,0,0,0,1,769,0,231737,231737,231737,231737,RS,Yes,No,No,No,0,No,1,591.5,346410002,2366,325593
V,131,111,111,705,7007,Average,Average,2,0,2 Story,0,Frame Stucco,2384,4,2.5,0,0,0,1,756,0,235322,235322,235322,235322,RS,Yes,No,No,No,0,No,1,546,346410003,2184,301500
V,131,111,111,705,7007,Average,Average,2,0,2 Story,0,Frame Stucco,1909,4,2.5,0,0,0,1,732,0,196710,196710,196710,196710,RS,Yes,No,No,No,0,No,1,410,346410004,1640,282719
V,131,111,111,705,7007,Average,Average,2,0,2 Story,0,Frame Stucco,2154,4,2.5,0,0,0,1,765,0,216040,216040,216040,216040,RS,Yes,No,No,No,0,No,1,519,346410006,2076,289700
V,131,111,111,705,7007,Average,Average,1,0,2 Story,0,Frame Stucco,2422,4,2.5,0,0,0,1,441,0,227389,227389,227389,227389,RS,Yes,No,No,No,0,No,1,591.5,346410008,2366,314161
V,131,111,111,705,7007,Average,Average,2,0,Ranch 1 Story,0,Frame Stucco,1483,3,2,0,0,0,1,792,0,177350,177350,177350,177350,RS,Yes,No,No,No,0,No,1,495.6666666666667,346410013,1487,279593
V,131,111,111,705,7007,Average,Average,2,0,2 Story,0,Frame Stucco,2384,4,2.5,0,0,0,1,676,0,233544,233544,233544,233544,RS,Yes,No,No,No,0,No,1,546,346410021,2184,294100
V,131,111,111,705,7007,Average,Average,3,0,2 Story,0,Frame Stucco,2388,4,2.5,0,0,0,1,794,0,234140,234140,234140,234140,RS,Yes,No,No,No,0,No,1,591.5,346410023,2366,329218
V,131,111,111,705,7007,Average,Average,1,0,2 Story,0,Frame Stucco,2305,4,2.5,0,0,0,1,744,0,225384,225384,225384,225384,RS,Yes,No,No,No,0,No,1,546,346410025,2184,309823
V,131,111,111,705,7007,Average,Average,1,0,2 Story,0,Frame Stucco,2180,3,2.5,0,0,0,1,765,0,217686,217686,217686,217686,RS,Yes,No,No,No,0,No,1,692,346410031,2076,290642
V,131,111,111,705,7007,Average,Average,1,0,2 Story,0,Frame Stucco,2379,4,2.5,0,0,0,1,805,0,231690,231690,231690,231690,RS,Yes,No,No,No,0,No,1,591.5,346410033,2366,309100
V,38,111,111,150,1501,Average,Average,1,0,Ranch 1 Story,0,Frame Stucco,1908,2,3,1999,1999,0,1,1198,0,326365,326365,326365,326365,RSOB,Yes,No,Yes,Yes,1,No,1,1961.5,346450411,3923,508200
V,131,111,111,705,7007,Average,Average,3,0,2 Story,0,Frame Stucco,2250,4,2.5,0,0,0,1,420,0,215817,215817,215817,215817,RS,Yes,No,No,No,0,No,1,564.5,346500067,2258,280200
VP,150,119,111,720,7232,Above Average,Average,2,0,Ranch 1 Story,0,Frame Siding,1837,3,1.75,0,0,0,1,844,0,240440,240440,240440,240440,RSP,Yes,No,No,No,0,No,1,621.3333333333334,346550022,1864,314485
RS,90,111,111,502,5002,Average,Above Average,25,0.7,Ranch 1 Story,1,Frame Vinyl,1760,4,1.75,0,0,0,1,0,0,134915,172085,134915,172085,RS,No,No,No,No,0,Yes,70,439.25,350010006,1757,173775
RS,90,111,111,502,5002,Below Average,Above Average,21,0.7,Ranch 1 Story,1,Frame Vinyl,821,2,1,0,0,0,1,550,0,72306,91295,72306,91295,RS,Yes,No,No,No,0,Yes,68,448,350010010,896,147700
RS,90,111,111,502,5002,Below Average,Average,33,0,Ranch 1 Story,1,Frame Vinyl,1053,3,1,0,0,0,1,0,480,64930,113072,64930,113072,RS,No,Yes,No,No,0,No,74,387.6666666666667,350010033,1163,100700
RS,90,111,111,502,5002,Average,Above Average,23,0.65,Ranch 1 Story,1,Frame Masonry Veneer,1494,3,2,560,448,112,1,0,330,176169,216234,176169,216234,RS,No,Yes,Yes,No,0.8,Yes,67,687,350010054,2061,180745
RS,90,111,111,502,5002,Below Average,Average,29,0,Ranch 1 Story,1,Frame Masonry Veneer,1412,2,1,950,950,0,1,0,528,123308,198538,123308,198538,RS,No,Yes,Yes,Yes,1,No,67,1181,350040003,2362,132800
RS,70,111,111,301,3002,Average,Average,29,0.1,Ranch 1 Story,1,Frame Masonry Veneer,1666,3,1.5,0,0,0,1,336,0,126010,190924,126010,190924,RS,Yes,No,No,No,0,Yes,66,555.3333333333334,350050015,1666,115700
RS,70,111,111,301,3002,Average,Average,29,0,Ranch 1 Story,1,Frame Masonry Veneer,1561,3,1.5,0,0,0,1,0,0,120443,182490,120443,182490,RS,No,No,No,No,0,No,66,600,350050019,1800,178200
RS,70,111,111,301,3002,Average,Average,29,0,Ranch 1 Story,1,Frame Masonry Veneer,1604,3,1.5,0,0,0,1,336,0,127076,192539,127076,192539,RS,Yes,No,No,No,0,No,66,534.6666666666666,350050028,1604,117000
RS,70,111,111,301,3002,Average,Average,29,0,Ranch 1 Story,1,Frame Masonry Veneer,1954,3,1.5,750,0,750,1,336,0,154383,233913,154383,233913,RS,Yes,No,Yes,No,0,No,66,972,350050030,2916,191500
RS,70,111,111,301,3002,Average,Above Average,22,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1784,3,1.5,0,0,0,1,336,0,166465,204001,166465,204001,RS,Yes,No,No,No,0,Yes,66,594.6666666666666,350050039,1784,197400
RS,70,111,111,303,3021,Average,Average,6,0,Split Level,2,Frame Stucco,1920,5,3.5,432,432,0,1,440,0,222324,234341,222324,234341,RS,Yes,No,Yes,Yes,1,No,21,470.4,350050045,2352,255762
RS,70,111,111,303,3021,Average,Average,6,0,Split Level,1,Frame Vinyl,1014,3,2.75,912,912,0,1,456,0,171578,180924,171578,180924,RS,Yes,No,Yes,Yes,1,No,21,642,350050046,1926,223400
RS,70,111,111,301,3002,Average,Average,28,0,Ranch 1 Story,1,Frame Masonry Veneer,1604,3,1.5,0,0,0,1,384,0,129522,193316,129522,193316,RS,Yes,No,No,No,0,No,65,544.3333333333334,350050049,1633,118000
RS,70,111,111,301,3002,Average,Average,28,0,Ranch 1 Story,1,Frame Masonry Veneer,1948,3,1.5,0,0,0,1,0,0,135918,202863,135918,202863,RS,No,No,No,No,0,No,65,605.3333333333334,350050061,1816,165300
RS,70,111,111,301,3002,Average,Average,28,0,Ranch 1 Story,1,Frame Masonry Veneer,1204,3,1,0,0,0,1,336,0,102100,152388,102100,152388,RS,Yes,No,No,No,0,No,65,401.3333333333333,350050063,1204,128500
RS,70,111,111,301,3002,Average,Above Average,25,0.65,Ranch 1 Story,1,Frame Masonry Veneer,1176,3,2,0,0,0,1,336,0,119159,151988,119159,151988,RS,Yes,No,No,No,0,Yes,65,392,350050066,1176,105400
RS,70,111,111,301,3002,Average,Average,28,0,Ranch 1 Story,1,Frame Masonry Veneer,1400,3,2.25,1425,1300,125,1,0,0,157886,235651,157886,235651,RS,No,No,Yes,No,0.9122807017543859,No,64,941.6666666666666,350050068,2825,187400
RS,90,111,111,503,5009,Average,Average,20,0,Split Level,1,Frame Masonry Veneer,1802,4,3.5,1200,1080,120,1,575,0,211778,268074,211778,268074,RS,Yes,No,Yes,No,0.9,No,49,750.5,350090005,3002,226800
RS,130,111,111,702,7005,Average,Average,22,0,Bi Level 1 Story,1,Frame Aluminum,1007,2,1.75,975,975,0,1,0,0,128258,166569,128258,166569,RS,No,No,Yes,Yes,1,No,53,991,350130003,1982,191600
RS,130,111,111,702,7005,Average,Above Average,7,0.95,Ranch 1 Story,1,Frame Masonry Veneer,936,3,1,0,0,0,1,0,0,114869,119905,114869,119905,RS,No,No,No,No,0,Yes,63,312,350140001,936,144800
RS,130,111,111,702,7005,Average,Above Average,22,0.65,Ranch 1 Story,1,Frame Masonry Veneer,1312,3,2,0,0,0,1,0,0,123178,150953,123178,150953,RS,No,No,No,No,0,Yes,63,470,350140002,1410,175800
RS,130,111,111,702,7005,Average,Above Average,22,0.65,Ranch 1 Story,1,Frame Masonry Veneer,1312,3,2,0,0,0,1,0,0,123178,150953,123178,150953,RS,No,No,No,No,0,Yes,63,443,350140002,1329,112990
RS,130,111,111,702,7005,Average,Above Average,15,0.75,Ranch 1 Story,1,Frame Masonry Veneer,1224,4,1.75,0,0,0,1,288,0,131415,149335,132391,153089,RS,Yes,No,No,No,0,Yes,63,306,350140004,1224,213500
RS,130,111,111,702,7005,Average,Above Average,18,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1637,4,1.75,0,0,0,1,532,0,165664,195358,165664,195358,RS,Yes,No,No,No,0,Yes,63,409.25,350140007,1637,190600
RS,90,111,111,502,5024,Below Average,Average,35,0,Ranch 1 Story,1,Frame Vinyl,784,2,1.75,784,392,392,1,0,0,51155,108841,51155,108841,RS,No,No,Yes,No,0.5,No,79,784,350150002,1568,147500
RS,90,111,111,502,5024,Below Average,Average,35,0,Ranch 1 Story,1,Frame Vinyl,1000,2,1,772,470,302,1,0,375,59886,133933,59886,133933,RS,No,Yes,Yes,No,0.6088082901554405,No,79,892,350150007,1784,142000
RS,90,111,111,502,5024,Below Average,Average,35,0,Ranch 1 Story,1,Frame Vinyl,784,2,1,784,744,40,1,0,0,51802,110217,51802,110217,RS,No,No,Yes,No,0.9489795918367347,No,79,750,350150013,1500,148300
RS,90,111,111,502,5024,Below Average,Above Average,12,0.9,Ranch 1 Story,1,Frame Vinyl,953,3,1.75,784,705,79,1,0,0,116096,127718,116096,127718,RS,No,No,Yes,No,0.8992346938775511,Yes,79,579,350150015,1737,190500
RS,90,111,111,502,5024,Below Average,Average,35,0,Ranch 1 Story,1,Frame Masonry Veneer,784,3,1.75,784,784,0,1,0,544,73873,140188,73873,140188,RS,No,Yes,Yes,Yes,1,No,79,522.6666666666666,350150017,1568,171600
RS,90,111,111,502,5023,Below Average,Above Average,35,0.95,Ranch 1 Story,1,Frame Vinyl,922,2,2,922,922,0,1,0,0,82773,131595,82773,131595,RS,No,No,Yes,Yes,1,Yes,79,922,350150019,1844,176900
RS,90,111,111,502,5024,Below Average,Average,29,0,Ranch 1 Story,1,Frame Vinyl,929,4,2,929,929,0,2,528,0,94253,159751,94253,159751,RS,Yes,No,Yes,Yes,1,No,67,508.5,350150031,2034,151550
RS,90,111,111,502,5024,Below Average,Above Average,14,0.9,Ranch 1 Story,1,Frame Vinyl,720,2,2,720,648,72,1,0,240,103584,121698,103584,121698,RS,No,Yes,Yes,No,0.9,Yes,78,684,350160003,1368,154600
RS,90,111,111,502,5024,Below Average,Average,35,0,Ranch 1 Story,1,Frame Masonry Veneer,1200,3,2.75,1200,1080,120,1,0,440,98110,193252,98110,193252,RS,No,Yes,Yes,No,0.9,No,78,800,350160008,2400,176600
RS,90,111,111,502,5024,Below Average,Average,31,0,Ranch 1 Story,1,Frame Masonry Veneer,1189,3,1,0,0,0,1,0,0,61822,114486,61822,114486,RS,No,No,No,No,0,No,71,401,350170016,1203,82000
RS,90,111,111,502,5024,Below Average,Above Average,30,0.6,Ranch 1 Story,1,Frame Masonry Veneer,1040,2,2,874,874,0,2,0,0,98580,152130,98580,152130,RS,No,No,Yes,Yes,1,Yes,71,955.5,350170023,1911,172900
RS,90,111,111,502,5024,Below Average,Above Average,30,0.6,Ranch 1 Story,1,Frame Masonry Veneer,1040,2,2,874,874,0,2,0,0,98580,152130,98580,152130,RS,No,No,Yes,Yes,1,Yes,71,957,350170023,1914,204900
RS,90,111,111,502,5024,Below Average,Average,31,0,Ranch 1 Story,1,Frame Masonry Veneer,1032,2,1,0,0,0,1,0,0,55125,102084,55125,102084,RS,No,No,No,No,0,No,71,516,350170026,1032,154400
RS,90,111,111,502,5024,Below Average,Average,31,0,Ranch 1 Story,1,Frame Masonry Veneer,1032,2,1,0,0,0,1,0,0,55125,102084,55125,102084,RS,No,No,No,No,0,No,71,516,350170026,1032,111400
RS,90,111,111,502,5024,Below Average,Above Average,31,0.75,Ranch 1 Story,1,Frame Stucco,1068,3,2,0,0,0,1,0,0,68746,102098,68746,102098,RS,No,No,No,No,0,Yes,71,356,350170027,1068,173100
RS,90,111,111,502,5024,Below Average,Average,31,0,Ranch 1 Story,1,Frame Masonry Veneer,769,2,1,0,0,0,1,263,0,49094,90915,49094,90915,RS,Yes,No,No,No,0,No,71,384.5,350170040,769,110900
RS,90,111,111,502,5024,Below Average,Above Average,30,0.6,Ranch 1 Story,1,Frame Stucco,1032,3,1,0,0,0,1,0,0,60778,93793,60778,93793,RS,No,No,No,No,0,Yes,71,366.6666666666667,350170047,1100,152100
RS,90,111,111,502,5024,Below Average,Above Average,15,0.7,Ranch 1 Story,1,Frame Vinyl,884,3,1.75,864,795,69,1,0,350,121490,139730,121490,139730,RS,No,Yes,Yes,No,0.9201388888888888,Yes,52,582.6666666666666,350180003,1748,168900
RS,90,111,111,502,5024,Average,Above Average,16,0.7,Ranch 1 Story,1,Frame Vinyl,886,3,1,864,518,346,1,0,0,116737,133873,116737,133873,RS,No,No,Yes,No,0.5995370370370371,Yes,52,756,350180005,2268,240900
RS,90,111,111,502,5024,Below Average,Above Average,27,0.65,Ranch 1 Story,1,Frame Vinyl,720,1,1.75,720,648,72,1,0,0,76336,108432,77741,115457,RS,No,No,Yes,No,0.9,Yes,78,1460,350180017,1460,186100
RS,90,111,111,502,5024,Below Average,Average,35,0,Ranch 1 Story,1,Frame Vinyl,720,2,2,720,720,0,2,0,250,55745,125331,55745,125331,RS,No,Yes,Yes,Yes,1,No,78,720,350180036,1440,100600
RS,90,111,111,502,5024,Below Average,Average,35,0,1½ Story Fin,2,Frame Vinyl,1649,6,1.5,735,0,735,1,0,256,81232,160340,81232,160340,RS,No,Yes,Yes,No,0,No,78,417.3333333333333,350180042,2504,168400
RS,90,111,111,502,5024,Average,Above Average,19,0.8,Ranch 1 Story,1,Frame Vinyl,732,2,1,732,366,366,1,0,0,104428,121428,104428,121428,RS,No,No,Yes,No,0.5,Yes,78,732,350180044,1464,182600
RS,90,111,111,502,5024,Below Average,Above Average,15,0.8,Ranch 1 Story,1,Frame Vinyl,732,2,2,732,717,15,1,0,0,94616,109509,94616,109509,RS,No,No,Yes,No,0.9795081967213115,Yes,78,732,350180061,1464,210500
RS,90,111,111,502,5024,Average,Average,30,0,Ranch 1 Story,1,Frame Masonry Veneer,883,2,1,0,0,0,1,288,0,74179,115904,74179,115904,RS,Yes,No,No,No,0,No,69,535.5,350190006,1071,90200
RS,90,111,111,502,5024,Below Average,Average,29,0,Ranch 1 Story,1,Frame Masonry Veneer,1508,3,1.5,0,0,0,1,312,0,87914,150329,87914,150329,RS,Yes,No,No,No,0,No,66,503,350200007,1509,173000
RS,90,111,111,502,5024,Average,Above Average,30,0.6,Ranch 1 Story,1,Frame Masonry Veneer,1020,4,2,1020,255,765,1,0,0,109929,154395,109929,154395,RS,No,No,Yes,No,0.25,Yes,68,510,350200014,2040,184000
RS,90,111,111,502,5024,Average,Above Average,26,0.65,Ranch 1 Story,1,Frame Masonry Veneer,1064,2,1.75,1064,957,107,1,775,0,156290,203503,156290,203503,RS,Yes,No,Yes,No,0.8994360902255639,Yes,68,1064,350200015,2128,225300
RS,90,111,111,502,5024,Average,Average,30,0,Ranch 1 Story,1,Frame Masonry Veneer,1064,2,1.75,1064,1010,54,1,0,0,122089,190764,123563,198132,RS,No,No,Yes,No,0.9492481203007519,No,68,1064,350200017,2128,164700
RS,90,111,111,502,5024,Below Average,Average,30,1,Ranch 1 Story,1,Frame Vinyl,1181,3,1,0,0,0,1,0,1050,68270,140493,68270,140493,RS,No,Yes,No,No,0,Yes,68,411.6666666666667,350200020,1235,206200
RS,90,111,111,502,5024,Average,Above Average,16,0.7,Ranch 1 Story,1,Frame Vinyl,910,4,1.75,888,888,0,1,0,0,128112,146917,128112,146917,RS,No,No,Yes,Yes,1,Yes,51,458.75,350210003,1835,176800
RS,90,111,111,502,5024,Average,Above Average,10,0.8,Ranch 1 Story,1,Frame Vinyl,1144,3,1.75,888,888,0,1,456,0,178665,192527,178665,192527,RS,Yes,No,Yes,Yes,1,Yes,51,677.3333333333334,350210007,2032,205300
RS,90,111,111,502,5024,Average,Average,22,0,Ranch 1 Story,1,Frame Vinyl,910,3,1.75,888,888,0,1,0,0,113126,146917,113834,150458,RS,No,No,Yes,Yes,1,No,52,606.6666666666666,350210009,1820,132359
RS,90,111,111,502,5024,Average,Above Average,19,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1408,3,1.75,0,0,0,1,242,0,150448,179105,150448,179105,RS,Yes,No,No,No,0,Yes,66,469.3333333333333,350210016,1408,115700
RS,90,111,111,502,5024,Average,Above Average,19,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1408,3,1.75,0,0,0,1,242,0,150448,179105,150448,179105,RS,Yes,No,No,No,0,Yes,66,469.3333333333333,350210016,1408,176700
RS,90,111,111,501,5001,Average,Above Average,14,0.7,Split Level,1,Frame Vinyl,1072,3,2,1050,997,53,1,860,0,167183,187427,167183,187427,RS,Yes,No,Yes,No,0.9495238095238095,Yes,45,712.6666666666666,350220006,2138,228500
RS,90,111,111,501,5001,Average,Average,18,0,Ranch 1 Story,1,Frame Masonry Veneer,1107,2,1.75,1107,1107,0,1,540,0,167004,207190,167004,207190,RS,Yes,No,Yes,Yes,1,No,45,1107,350220007,2214,142950
RS,90,111,111,501,5001,Average,Above Average,17,0.6,Ranch 1 Story,1,Frame Masonry Veneer,1662,3,2.5,1646,1646,0,2,600,0,254244,294264,254244,294264,RS,Yes,No,Yes,Yes,1,Yes,43,1102.6666666666667,350220024,3308,295000
RS,90,111,111,501,5001,Average,Average,18,0,Split Level,1,Frame Vinyl,1314,3,2.75,676,676,0,1,572,0,157144,195017,157144,195017,RS,Yes,No,Yes,Yes,1,No,45,622.3333333333334,350220029,1867,142000
RS,90,111,111,501,5001,Average,Average,18,0,Ranch 1 Story,1,Frame Vinyl,1248,3,2,1248,1248,0,1,528,0,178184,219980,178184,219980,RS,Yes,No,Yes,Yes,1,No,45,832,350220031,2496,168300
RS,90,111,111,501,5001,Average,Above Average,15,0.65,Split Level,1,Frame Vinyl,1072,3,2,1050,1050,0,1,500,0,160861,183592,160861,183592,RS,Yes,No,Yes,Yes,1,Yes,44,707.3333333333334,350230005,2122,180700
RS,90,111,111,501,5001,Average,Average,18,0,Split Level,1,Frame Vinyl,1222,3,3,1200,1200,0,1,0,0,165657,205502,165657,205502,RS,No,No,Yes,Yes,1,No,44,807.3333333333334,350230007,2422,151000
RS,70,111,111,303,3021,Average,Average,20,0,Split Level,1,Frame Masonry Veneer,1472,5,2.5,754,716,38,1,552,0,177318,224453,177318,224453,RS,Yes,No,Yes,No,0.9496021220159151,No,48,445.2,350250024,2226,173900
