PROP_TYPE,TX_DIST,PT,SPT,N_GRP,LEA,IMPQUALITY,IMPCONDITIONTYPE,EFFAGE,REMODPCT,BLTASDESCRIPTION,BLTASSTORIES,IMPEXTERIOR,BLTASSF,BEDRMCNT,TOT_BATH,BSMT_TOTAL,BSMT_FIN,BSMT_UNFIN,KITCHENS,ATTGAR,DETGAR,RES_RCNLD,RES_COSTRCN,TOT_RCNLD,TOT_RCN,NEW_PT,HAS_ATTGAR,HAS_DETGAR,HAS_BSMT,BSMT_ISFIN,BSMT_PCTCOMP,IS_REMOD,ACTUAL_AGE,SF_ROOM,ACCOUNTNO,MLS_TOTAL_SQFT,IMPROVED
RS,10,111,111,115,1040,Average,Average,39,0,Ranch 1 Story,1,Frame Masonry Veneer,1040,2,1.75,1040,1040,0,1,0,0,87792,186792,87792,186792,RS,No,No,Yes,Yes,1,No,86,1362,010550001,2724,173700
RS,10,111,111,115,1040,Average,Above Average,32,0.5,Ranch 1 Story,1,Frame Masonry Veneer,1154,2,1,1140,577,563,1,0,336,117686,195039,117686,195039,RS,No,Yes,Yes,No,0.506140350877193,Yes,73,1147,010560004,2294,175200
RS,10,111,111,115,1040,Average,Average,28,0,Ranch 1 Story,1,Frame Vinyl,1100,3,1,0,0,0,1,0,0,81266,121293,81266,121293,RS,No,No,No,No,0,No,65,366.6666666666667,010570010,1100,133500
RS,10,111,111,115,1040,Average,Above Average,44,0.6,Ranch 1 Story,1,Frame Masonry Veneer,1967,3,1.5,0,0,0,1,0,0,104421,207185,105047,210313,RS,No,No,No,No,0,Yes,124,689.6666666666666,010580003,2069,180700
RS,10,111,111,115,1040,Average,Average,12,0,Split Level,1,Frame Vinyl,1527,3,2.5,504,504,0,1,480,0,179180,201933,179180,201933,RS,Yes,No,Yes,Yes,1,No,33,677,010590003,2031,216700
RS,10,111,111,115,1040,Average,Average,18,0,Split Level,1,Frame Masonry Veneer,1161,3,1.75,594,594,0,1,800,0,152014,187672,152014,187672,RS,Yes,No,Yes,Yes,1,No,44,590.3333333333334,010600008,1771,152869
RS,10,111,111,115,1040,Average,Average,44,0,2 Story,2,Frame Vinyl,2205,4,3.25,0,0,0,1,624,0,85498,224994,85498,224994,RS,Yes,No,No,No,0,No,104,551.25,010610002,2205,161425
RS,10,111,111,115,1040,Below Average,Above Average,28,0.6,Ranch 1 Story,1,Frame Vinyl,969,2,1,0,0,0,1,0,300,72729,101874,72729,101874,RS,No,Yes,No,No,0,Yes,74,484.5,010620009,969,106300
RS,10,111,111,115,1040,Average,Average,44,0,Ranch 1 Story,1,Frame Stucco,1242,2,1,0,0,0,1,0,0,48346,127226,48346,127226,RS,No,No,No,No,0,No,122,639.5,010630007,1279,151600
RS,10,111,111,115,1040,Average,Above Average,22,0.8,Ranch 1 Story,1,Frame Masonry Veneer,1316,2,2.25,0,0,0,1,0,0,141954,169194,189341,218299,RS,No,No,No,No,0,Yes,112,1042,010670009,2084,311900
RS,10,111,111,115,1040,Average,Above Average,44,0.8,Ranch 1 Story,1,Frame Masonry Veneer,1899,2,2,196,0,196,1,0,0,116737,206249,116737,206249,RS,No,No,Yes,No,0,Yes,112,1045,010670034,2090,190500
RS,10,111,111,115,1040,Average,Average,30,0,Ranch 1 Story,1,Frame Vinyl,1332,2,2,1332,1332,0,1,0,0,132968,207762,135015,211484,RS,No,No,Yes,Yes,1,No,69,1332,010670038,2664,226500
